osipt hs .
tm_s nlet n_ih,s,s,s,s,s
,3,,,9698,5,6,6,320,966,96895,90965
,25420093,395
1,275352,0,0,964,962,955,971,961
1,275362,0,0,964,962,952,970,961
1,275372,0,0,964,962,952,970,961
1,275382,0,0,964,962,952,970,961
1,275392,0,0,964,962,952,970,961
1,275402,0,0,964,962,952,970,961
1,275412,0,0,964,962,952,970,961
1,275422,0,0,964,962,952,970,961
1,275432,0,0,964,962,952,970,961
1,275442,0,0,964,962,952,970,961
1,275452,0,0,964,962,952,970,961
1,275462,0,0,964,962,952,970,961
1,275472,0,0,964,962,953,970,961
1,275482,0,0,964,962,952,970,961
1,275492,0,0,964,962,952,970,961
1,275502,0,0,964,962,952,970,961
1,275512,0,0,964,962,952,970,961
1,275522,0,0,964,962,952,970,961
1,275532,0,0,964,962,952,970,961
1,275542,0,0,964,962,952,970,961
1,275552,0,0,964,962,952,970,961
1,275562,0,0,964,962,952,970,961
1,275572,0,0,964,962,952,970,961
1,275582,0,0,964,962,952,970,961
1,275592,0,0,964,962,952,970,961
1,275602,0,0,964,962,952,970,961
1,275612,0,0,964,962,952,970,961
1,275622,0,0,964,962,952,970,961
1,275632,0,0,964,962,952,970,961
1,275642,0,0,964,962,952,970,961
1,275652,0,0,964,962,952,970,961
1,275662,0,0,964,962,952,970,961
1,275672,0,0,964,962,952,970,961
1,275682,0,0,964,962,952,970,961
1,275692,0,0,964,962,952,970,961
1,275702,0,0,964,962,952,970,961
1,275712,0,0,964,962,952,970,961
1,275722,0,0,964,962,952,970,961
1,275732,0,0,964,962,952,970,961
1,275742,0,0,964,962,952,970,961
1,275752,0,0,964,962,952,970,961
1,275762,0,0,964,962,952,970,961
1,275772,0,0,964,962,952,970,961
1,275782,0,0,964,962,952,970,961
1,275792,0,0,964,962,952,970,961
1,275802,0,0,964,962,952,970,961
1,275812,0,0,964,962,952,970,961
1,275822,0,0,964,962,952,970,961
1,275832,0,0,964,962,952,970,961
1,275842,0,0,964,962,952,970,960
1,275852,0,0,964,962,952,970,960
1,275862,0,0,964,962,952,969,960
1,275872,0,0,964,962,952,969,961
1,275883,0,0,964,962,952,969,961
1,275893,0,0,964,962,952,969,960
1,275903,0,0,964,962,952,969,960
1,275913,0,0,964,962,952,969,960
1,275923,0,0,964,962,952,969,960
1,275933,0,0,964,962,952,969,961
1,275943,0,0,964,962,952,969,960
1,275953,0,0,964,962,952,969,960
1,275963,0,0,964,962,952,969,961
1,275973,0,0,964,961,951,969,960
1,275983,0,0,964,961,952,969,960
1,275993,0,0,964,961,951,969,961
1,276003,0,0,964,961,951,969,960
1,276013,0,0,964,961,952,969,961
1,276023,0,0,964,961,952,969,961
1,276033,0,0,964,961,952,969,960
1,276043,0,0,964,961,952,969,960
1,276054,0,0,965,961,952,969,961
1,276064,0,0,964,961,952,969,960
1,276074,0,0,964,961,952,969,960
1,276084,0,0,964,961,952,969,960
1,276094,0,0,964,961,952,969,960
1,276104,0,0,964,961,952,969,960
1,276114,0,0,964,961,952,969,960
1,276124,0,0,964,961,952,969,960
1,276134,0,0,964,961,952,969,960
1,276144,0,0,964,961,952,969,960
1,276154,0,0,964,961,952,969,960
1,276164,0,0,964,961,952,969,960
1,276174,0,0,964,961,952,969,960
1,276184,0,0,964,961,952,969,960
1,276194,0,0,964,961,952,969,960
1,276204,0,0,964,961,952,969,960
1,276214,0,0,964,961,952,969,960
1,276224,0,0,964,961,952,969,960
1,276234,0,0,964,961,952,969,961
1,276244,0,0,964,961,952,969,960
1,276254,0,0,964,961,952,969,960
1,276264,0,0,964,961,952,969,960
1,276274,0,0,964,961,952,969,960
1,276284,0,0,964,961,952,969,960
1,276294,0,0,964,961,952,969,960
1,276304,0,0,964,961,952,969,960
1,276314,0,0,964,961,952,969,960
1,276324,0,0,964,961,952,969,960
1,276334,0,0,964,961,952,969,960
1,276344,0,0,964,961,952,969,960
1,276354,0,0,964,961,952,969,960
1,276364,0,0,964,961,952,969,960
1,276374,0,0,964,961,952,969,960
1,276384,0,0,964,961,952,969,960
1,276395,0,0,964,961,952,969,960
1,276405,0,0,964,961,952,969,960
1,276415,0,0,964,961,952,969,960
1,276425,0,0,964,961,952,969,960
1,276435,0,0,964,961,952,969,960
1,276445,0,0,964,961,952,969,960
1,276455,0,0,964,961,952,969,960
1,276465,0,0,964,961,952,969,960
1,276475,0,0,964,961,952,969,960
1,276485,0,0,964,961,952,969,960
1,276495,0,0,964,961,952,969,960
1,276505,0,0,964,961,952,969,960
1,276515,0,0,964,961,952,969,960
1,276525,0,0,964,961,952,969,960
1,276535,0,0,964,961,952,969,960
1,276545,0,0,964,961,952,969,960
1,276555,0,0,964,961,952,969,960
1,276566,0,0,964,961,952,969,960
1,276576,0,0,964,961,952,969,960
1,276586,0,0,964,961,952,969,960
1,276596,0,0,964,961,952,969,960
1,276606,0,0,964,961,952,969,960
1,276616,0,0,964,961,952,969,960
1,276626,0,0,964,961,952,969,960
